id,url,category,date,image,name,price,category_rank,review_count
664,http://shopping.naver.com/detail/detail.nhn?cat_id=50001319&nv_mid=6825593102,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6825593/6825593102.20130329175557.jpg,리빙스타 바스켓 무빙행거,29310,65,115
665,http://shopping.naver.com/detail/detail.nhn?cat_id=50001320&nv_mid=7061505214,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7061505/7061505214.20130812111419.jpg,필웰 브루노틈새전신거울6단수납장400,145500,66,38
666,http://shopping.naver.com/detail/detail.nhn?cat_id=50000861&nv_mid=8142087800,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_8142087/8142087800.20141208180523.jpg,쁘리엘르 일반 암막 롤스크린,750,67,3
667,http://shopping.naver.com/detail/detail.nhn?cat_id=50000981&nv_mid=8118835385,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_8118835/8118835385.20141127142822.jpg,북유럽의겨울 노르딕 Grayn Big Star 대형러그,57900,68,29
668,http://shopping.naver.com/detail/detail.nhn?cat_id=50001346&nv_mid=5392952672,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5392952/5392952672.20130405105654.jpg,한샘 SAM3 7000 3단 800 책장,66930,69,422
669,http://shopping.naver.com/detail/detail.nhn?cat_id=50001321&nv_mid=5647102924,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5647102/5647102924.20140804154244.jpg,두닷 피랙 5단 선반장,150490,70,464
670,http://shopping.naver.com/detail/detail.nhn?cat_id=50003231&nv_mid=7966760599,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7966760/7966760599.20140923155835.jpg,한샘 샘베딩 옷장 800 3단 서랍형 A타입,259000,71,4
671,http://shopping.naver.com/detail/detail.nhn?cat_id=50001319&nv_mid=7522391059,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7522391/7522391059.20140417171241.jpg,벤트리 원목 디자인 행거,28670,72,22
672,http://shopping.naver.com/detail/detail.nhn?cat_id=50003675&nv_mid=7725582213,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7725582/7725582213.20140604110824.jpg,한샘 에디 스틸책상 1200,55000,73,72
673,http://shopping.naver.com/detail/detail.nhn?cat_id=50003225&nv_mid=7519023403,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7519023/7519023403.20140225143709.jpg,파로마 퍼펙트 골드 독립형 라텍스 매트리스 Q,159000,74,488
674,http://shopping.naver.com/detail/detail.nhn?cat_id=50001313&nv_mid=4136832939,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_4136832/4136832939.20130227153921.jpg,한샘 코모 6001 화이트 렌지대,82390,75,380
675,http://shopping.naver.com/detail/detail.nhn?cat_id=50003223&nv_mid=7518783817,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7518783/7518783817.20140225124653.jpg,한샘 노뜨 베이직 7000 스프링 매트리스 SS,98990,76,2
676,http://shopping.naver.com/detail/detail.nhn?cat_id=50003242&nv_mid=6988746149,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6988746/6988746149.20130703165554.jpg,자코모 힐링 4인용 천연면피 소가죽소파 + 스툴,1357400,77,347
677,http://shopping.naver.com/detail/detail.nhn?cat_id=50003683&nv_mid=5741268776,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5741268/5741268776.20130404152031.jpg,에넥스 에니 듀얼 300 시스템 요추의자,52900,78,1
678,http://shopping.naver.com/detail/detail.nhn?cat_id=50003682&nv_mid=6539659482,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6539659/6539659482.20131112111155.jpg,시디즈 T603FW 팔걸이형 의자,154000,79,311
679,http://shopping.naver.com/detail/detail.nhn?cat_id=50003678&nv_mid=5647074394,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5647074/5647074394.20130328173502.jpg,소프시스 위더스 컴퓨터 테이블 L,28900,80,9
680,http://shopping.naver.com/detail/detail.nhn?cat_id=50003266&nv_mid=4144684993,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_4144684/4144684993.20130219153932.jpg,이케아 MARIUS 스툴,6890,81,2
681,http://shopping.naver.com/detail/detail.nhn?cat_id=50003227&nv_mid=5642297714,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5642297/5642297714.20130215142914.jpg,한샘 샘베딩 옷장 서랍장 A 800 D600,231830,82,42
682,http://shopping.naver.com/detail/detail.nhn?cat_id=50003504&nv_mid=7297915484,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7297915/7297915484.20140825145328.jpg,프로텍트어베드 플래티넘 마이크로화이버 경추베개솜 40x60,13300,83,147
683,http://shopping.naver.com/detail/detail.nhn?cat_id=50001346&nv_mid=5983789469,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5983789/5983789469.20130405165426.jpg,소프시스 위더스 모비A형 단독형 책장,37900,84,1
684,http://shopping.naver.com/detail/detail.nhn?cat_id=50003678&nv_mid=6902843380,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6902843/6902843380.20130520170509.jpg,소프시스 위더스 컴퓨터책상 1460,49890,85,590
685,http://shopping.naver.com/detail/detail.nhn?cat_id=50003330&nv_mid=7504200883,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7504200/7504200883.20140225115745.jpg,이스트웍스 키리바시 클램프 스탠드,26670,86,116
686,http://shopping.naver.com/detail/detail.nhn?cat_id=50003683&nv_mid=6911385892,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6911385/6911385892.20130524155036.jpg,시디즈 TX200HA 메쉬의자 조절형팔걸이 헤드레스트형,159000,87,229
687,http://shopping.naver.com/detail/detail.nhn?cat_id=50003254&nv_mid=6607117089,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6607117/6607117089.20130416111711.jpg,소프시스 트윈테이블,79900,88,1
688,http://shopping.naver.com/detail/detail.nhn?cat_id=50003354&nv_mid=7893151049,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7893151/7893151049.20140825105133.jpg,우드윅 라지자&트릴로지 미듐자 캔들,21500,89,168
689,http://shopping.naver.com/detail/detail.nhn?cat_id=50003683&nv_mid=4014295123,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_4014295/4014295123.20130403173106.jpg,듀오백 DK-2500G 니트천,158900,90,2
690,http://shopping.naver.com/detail/detail.nhn?cat_id=50001319&nv_mid=5673747428,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5673747/5673747428.20120211202856.jpg,왕자행거 프리미엄 우드2단행거,23630,91,1
691,http://shopping.naver.com/detail/detail.nhn?cat_id=50001319&nv_mid=6780599976,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6780599/6780599976.20130228165757.jpg,왕자행거 뉴 2단 대형 이동식행거,34810,92,108
692,http://shopping.naver.com/detail/detail.nhn?cat_id=50003487&nv_mid=7010346567,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7010346/7010346567.20130715121923.jpg,규수방 시드니 65T CL라텍스 매트리스 침대 세트 S,54900,93,5
693,http://shopping.naver.com/detail/detail.nhn?cat_id=50001319&nv_mid=6256877533,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6256877/6256877533.20120409103720.jpg,왕자행거 심플 2단 커튼행거,25360,94,3
694,http://shopping.naver.com/detail/detail.nhn?cat_id=50000981&nv_mid=5642363754,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5642363/5642363754.20120211212613.jpg,한일카페트 터치미 원형 극세사 러그,25890,95,692
695,http://shopping.naver.com/detail/detail.nhn?cat_id=50003497&nv_mid=5980931382,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5980931/5980931382.20120211181903.jpg,까사미아 까사온 라노아 번아웃 피톤치드 극세사 침구세트 Q,133030,96,360
696,http://shopping.naver.com/detail/detail.nhn?cat_id=50003260&nv_mid=7177452008,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_7177452/7177452008.20131007104309.jpg,한샘 위드7000 모던 가죽의자,43650,97,120
697,http://shopping.naver.com/detail/detail.nhn?cat_id=50003238&nv_mid=8161805941,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_8161805/8161805941.20141217135529.jpg,트리빔하우스 400 확장형 전신거울 (거치형),26900,98,33
698,http://shopping.naver.com/detail/detail.nhn?cat_id=50003670&nv_mid=6922657828,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_6922657/6922657828.20130530144350.jpg,보루네오하우스 엘리브 빅 와이드 5단서랍장 1000,162960,99,293
699,http://shopping.naver.com/detail/detail.nhn?cat_id=50000973&nv_mid=5650194035,가구/인테리어,2015.02.03,http://shopping.phinf.naver.net/main_5650194/5650194035.20120211212651.jpg,올리비아데코 아그네스 초극세사 항균담요,23860,100,1
700,http://shopping.naver.com/detail/detail.nhn?cat_id=50003854&nv_mid=7843365046,패션잡화,2015.02.03,http://shopping.phinf.naver.net/main_7843365/7843365046.20140731100854.jpg,아디다스 EQUIPMENT 10 D66744,79000,1,512
701,http://shopping.naver.com/detail/detail.nhn?cat_id=50003822&nv_mid=5684367559,패션잡화,2015.02.03,http://shopping.phinf.naver.net/main_5684367/5684367559.20141127150552.jpg,아디다스 ORIGINAL SUPERSTAR 2 G17068,54000,2,465
702,http://shopping.naver.com/detail/detail.nhn?cat_id=50000641&nv_mid=7816989299,패션잡화,2015.02.03,http://shopping.phinf.naver.net/main_7816989/7816989299.20140717102451.jpg,토리버치 11149679 001 블랙,165000,3,261
703,http://shopping.naver.com/detail/detail.nhn?cat_id=50003985&nv_mid=6545793034,패션잡화,2015.02.03,http://shopping.phinf.naver.net/main_6545793/6545793034.20120821142300.jpg,루이까또즈 SG3AH03BL,110480,4,778
704,http://shopping.naver.com/detail/detail.nhn?cat_id=50000650&nv_mid=8222940184,패션잡화,2015.02.03,http://shopping.phinf.naver.net/main_8222940/8222940184.20150116135545.jpg,닥스 남성가방 OC2B3FB02NV 네이비,198790,5,0
705,http://shopping.naver.com/detail/detail.nhn?cat_id=50000651&nv_mid=7479791663,패션잡화,2015.02.03,http://shopping.phinf.naver.net/main_7479791/7479791663.20140210165920.jpg,쌤소나이트 MONDO-BACKPACK R7809001,230570,6,105
